max_iters,n_embd,n_head,block_size,n_layer,device,dataset,activation_variant,softmax_variant_attn,norm_variant_attn,Val_loss,Training_time (min)
20000,384,1,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.167,43.95
20000,384,1,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0433,81.9
20000,384,2,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6218,17.79
20000,384,2,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3243,25.44
20000,384,2,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0655,42.19
20000,384,2,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.002,77.34
20000,384,3,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5865,17.63
20000,384,3,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.297,25.48
20000,384,3,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0621,42.14
20000,384,3,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.9398,77.22
20000,384,4,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5554,17.71
20000,384,4,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.269,25.5
20000,384,4,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0544,42.16
20000,384,4,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.9624,77.28
20000,384,6,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5386,17.68
20000,384,6,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2567,25.56
20000,384,6,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0567,41.99
20000,384,6,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.884,77.82
20000,384,8,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5334,17.79
20000,384,8,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2434,25.63
20000,384,8,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0165,42.45
20000,384,8,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.8757,78.42
20000,384,12,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5192,17.71
20000,384,12,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2381,25.53
20000,384,12,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0634,42.2
20000,384,12,512,6,cuda,openwebtext,relu,softmax,rmsnorm,3.8808,77.94
20000,512,1,64,6,cuda,openwebtext,relu,softmax,rmsnorm,5.5625,20.59
