block_size,mlp_expansion_factor,n_embd,n_head,n_layer,num_params,best_val_loss,better_than_chance,btc_per_param
512,2,768,4,13,100000000,5.967175,,
512,2,768,6,12,95632896,3.653147697,,
512,2,768,6,13,100353024,3.674141645,,
512,2,768,8,12,95632896,3.624091,,
512,2,768,8,13,100000000,3.607185,,
512,2,768,12,12,95632896,3.614198208,,
512,2,768,12,13,100353024,3.63772583,,
512,2,1024,4,6,102000000,6.175708,,
512,2,1024,8,6,102000000,6.17604,,
512,2,1536,4,1,96860160,4.186363,,
512,2,1536,6,1,96860160,4.148602486,,
512,2,1536,8,1,96860160,4.150421,,
512,2,1536,12,1,96860160,4.135327339,,
512,4,512,4,22,95222784,3.697693,,
512,4,512,4,23,98369536,3.675877,,
512,4,512,4,24,102000000,3.732438,,
512,4,512,4,25,,,,
512,4,512,8,22,95222784,3.689626,,
512,4,512,8,23,98369536,3.684753,,
512,4,512,8,24,102000000,3.687835,,
512,4,768,4,8,95626752,3.674854,,
512,4,768,4,9,103000000,4.19108,,
512,4,768,6,8,95626752,3.65610981,,
512,4,768,6,9,102706176,3.645448208,,
512,4,768,8,8,95626752,3.635166,,
512,4,768,8,9,103000000,3.629064,,
512,4,768,12,8,95626752,3.608664036,,
512,4,768,12,9,102706176,3.574773312,,
512,4,1024,4,4,102000000,5.611882,,
512,4,1024,8,4,102000000,6.039269,,
512,6,384,4,32,95017728,3.690337,,
512,6,384,4,33,97377792,3.715503,,
512,6,384,4,34,99737856,3.684277,,
512,6,384,4,35,102000000,3.74314,,
512,6,384,4,36,104000000,6.736254,,
512,6,384,6,32,95017728,3.735394955,,
512,6,384,6,33,97377792,3.762997389,,
512,6,384,6,34,99737856,3.700433016,,
512,6,384,6,35,102097920,3.702069044,,
512,6,384,6,36,104457984,3.737004757,,
512,6,384,8,32,95017728,3.691514,,
512,6,384,8,33,97377792,3.667665,,
512,6,384,8,34,99737856,3.714802,,
512,6,384,8,35,102000000,3.715761,,
512,6,384,12,32,95017728,3.674017429,,
512,6,384,12,33,97377792,3.725191355,,
512,6,384,12,34,99737856,3.690535069,,
512,6,384,12,35,102097920,3.656151772,,
512,6,384,12,36,104457984,3.671326876,,
512,6,512,4,17,97314816,3.665545,,
512,6,512,4,18,102000000,3.679724,,
512,6,512,8,17,97314816,3.663703,,
512,6,512,8,18,102000000,3.666347,,
512,6,768,4,6,95623680,5.703871,,
512,6,768,6,6,95623680,5.11743927,,
512,6,768,8,6,95623680,3.663227,,
512,6,768,12,6,95623680,3.630936623,,
512,6,1024,4,3,102000000,5.475239,,
512,6,1024,8,3,102000000,3.696486,,
512,8,384,4,26,96192768,3.728277,,
512,8,384,4,27,99142656,3.689235,,
512,8,384,4,28,102000000,3.73533,,
512,8,384,6,26,96192768,3.68304348,,
512,8,384,6,27,99142656,3.645911217,,
512,8,384,6,28,102092544,3.705548048,,
512,8,384,8,26,96192768,3.673426,,
512,8,384,8,27,99142656,3.700849,,
512,8,384,8,28,102000000,3.726397,,
512,8,384,12,26,96192768,3.652487278,,
512,8,384,12,27,99142656,3.661053419,,
512,8,384,12,28,102092544,3.678637028,,
512,8,512,4,14,99408896,3.707344,,
512,8,512,4,15,,,,
512,8,512,8,14,99408896,3.702123,,
512,8,768,4,5,97981440,3.784445,,
512,8,768,6,5,97981440,3.677711725,,
512,8,768,8,5,97981440,3.652029,,
512,8,768,12,5,97981440,3.612055302,,
1024,2,512,4,33,95496192,3.539699,,
1024,2,512,4,34,97594368,3.520251,,
1024,2,512,4,35,99692544,3.529871,,
1024,2,512,4,36,102000000,3.468861,,
1024,2,512,8,33,95496192,3.509869,,
1024,2,512,8,34,97594368,3.485905,,
1024,2,512,8,35,99692544,3.519356,,
1024,2,512,8,36,102000000,10.96908,,
1024,2,768,4,12,96026112,3.455889,,
1024,2,768,4,13,101000000,3.527689,,
1024,2,768,6,12,96026112,3.444694519,,
1024,2,768,6,13,100746240,3.495997429,,
1024,2,768,8,12,96026112,3.42904,,
1024,2,768,8,13,101000000,3.488456,,
1024,2,768,12,12,96026112,3.458969831,,
1024,2,768,12,13,100746240,3.49497962,,
1024,2,1024,4,5,94466048,5.796352,,
1024,2,1024,4,6,103000000,6.270935,,
1024,2,1024,8,5,94466048,3.656021,,
1024,2,1536,4,1,97646592,4.021069,,
1024,2,1536,6,1,97646592,4.017210007,,
1024,2,1536,8,1,97646592,4.022491,,
1024,2,1536,12,1,97646592,4.036345005,,
1024,4,512,4,22,95484928,3.545579,,
1024,4,512,4,23,98631680,3.496877,,
1024,4,512,4,24,102000000,3.460695,,
1024,4,512,8,22,95484928,3.487081,,
1024,4,512,8,23,98631680,3.466884,,
1024,4,512,8,24,102000000,10.92094,,
1024,4,768,4,8,96019968,3.476841,,
1024,4,768,4,9,103000000,3.478705,,
1024,4,768,6,8,96019968,3.445477247,,
1024,4,768,6,9,103099392,3.459754705,,
1024,4,768,8,8,96019968,3.434334,,
1024,4,768,8,9,103000000,3.451169,,
1024,4,768,12,8,96019968,3.443030596,,
1024,4,768,12,9,103099392,3.444247246,,
1024,4,1024,4,4,103000000,6.032014,,
1024,6,384,4,32,95214336,3.620079,,
1024,6,384,4,33,97574400,3.508057,,
1024,6,384,4,34,99934464,3.588208,,
1024,6,384,4,35,102000000,3.524763,,
1024,6,384,6,32,95214336,3.594216824,,
1024,6,384,6,33,97574400,3.526881218,,
1024,6,384,6,34,99934464,3.547287941,,
1024,6,384,6,35,102294528,3.508382797,,
1024,6,384,8,32,95214336,3.572889,,
1024,6,384,8,33,97574400,3.54186,,
1024,6,384,8,34,99934464,3.53268,,
1024,6,384,8,35,102000000,10.87049,,
1024,6,384,12,32,95214336,3.489578485,,
1024,6,384,12,33,97574400,3.487548828,,
1024,6,384,12,34,99934464,3.483220816,,
1024,6,384,12,35,102294528,3.557550669,,
1024,6,512,4,17,97576960,3.527844,,
1024,6,512,4,18,102000000,3.491366,,
1024,6,512,8,17,97576960,3.48743,,
1024,6,512,8,18,102000000,10.96026,,
1024,6,768,4,6,96016896,3.471903,,
1024,6,768,6,6,96016896,3.456399918,,
1024,6,768,8,6,96016896,3.47543,,
1024,6,768,12,6,96016896,3.494336605,,
1024,6,1024,4,3,103000000,3.540783,,
1024,6,1024,8,3,103000000,3.504403,,
1024,8,384,4,26,96389376,3.57407,,
1024,8,384,4,27,99339264,3.539793,,
1024,8,384,4,28,102000000,3.568542,,
1024,8,384,6,26,96389376,3.601969719,,
1024,8,384,6,27,99339264,3.552277803,,
1024,8,384,6,28,102289152,3.535523653,,
1024,8,384,8,26,96389376,3.612489,,
1024,8,384,8,27,99339264,3.500097,,
1024,8,384,8,28,102000000,10.90843,,
1024,8,384,12,26,96389376,3.53464818,,
1024,8,384,12,27,99339264,3.492486477,,
1024,8,384,12,28,102289152,3.497533798,,
