Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,5.0,4.259,0.517,0.517,2,2,120,16,4.776000000000001,N/A,N/A,1.21,3189156.153598,451161,77676,373485,0.717,0.0293,6.43e-07,0.746,0.203,0.258,6.45e-07,0.461,451065,451496,77732,78163,451161,3189156.153598,0,0,0,484
10,0,5.0,4.362,0.408,0.408,5,1,88,16,4.7700000000000005,N/A,N/A,1.47,3892593.305594,551491,94563,456928,0.881,0.0362,7.84e-07,0.917,0.247,0.309,8.09e-07,0.557,551304,552002,94582,95280,551491,3892593.305594,0,0,0,598
10,1,5.0,4.37,0.4,0.4,9,1,40,32,4.7700000000000005,N/A,N/A,3.5,9874908.320146,1395139,243606,1151533,2.3,0.103,2.01e-06,2.4,0.505,0.596,1.92e-06,1.1,1394480,1396302,243465,245287,1395139,9874908.320146,0,0,0,1562
11,0,5.0,4.991,-0.254,-0.254,10,4,112,16,4.737,N/A,N/A,12.0,31757282.752027,4505231,771048,3734183,7.19,0.297,6.42e-06,7.49,2.03,2.49,6.46e-06,4.52,4504513,4507248,771408,774143,4505231,31757282.752027,0,0,0,5334
11,1,5.0,4.814,-0.068,-0.068,3,4,16,16,4.746,N/A,N/A,3.46,8869921.958471,1263023,212916,1050107,2.04,0.105,1.77e-06,2.15,0.595,0.725,1.81e-06,1.32,1262788,1263717,213052,213981,1263023,8869921.958471,0,0,0,1410
12,0,6.0,4.925,0.816,0.816,6,1,48,32,5.741,N/A,N/A,1.93,6632277.129608,934217,163956,770261,1.27,0.0506,1.35e-06,1.32,0.277,0.327,1.28e-06,0.604,933780,935023,163875,165118,934217,6632277.129608,0,0,0,1051
13,0,6.0,5.024,0.712,0.712,11,2,64,32,5.736,N/A,N/A,7.11,24716856.675512,3489096,612132,2876964,4.75,0.182,5.07e-06,4.93,0.992,1.17,4.85e-06,2.16,3488157,3490904,612084,614831,3489096,24716856.675512,0,0,0,4101
13,1,6.0,5.088,0.644,0.644,10,4,72,16,5.732,N/A,N/A,9.74,30778328.857669,4373903,745448,3628455,5.81,0.241,6.21e-06,6.05,1.65,2.05,6.33e-06,3.71,4373185,4375920,745808,748543,4373903,30778328.857669,0,0,0,5135
14,0,5.0,4.788,-0.04,-0.04,8,1,104,16,4.748,N/A,N/A,2.44,6319577.225607,895814,153320,742494,1.45,0.0634,1.27e-06,1.51,0.413,0.509,1.33e-06,0.922,895501,896586,153327,154412,895814,6319577.225607,0,0,0,1011
14,1,6.0,5.132,0.598,0.598,6,4,72,32,5.7299999999999995,N/A,N/A,7.74,27141041.661009,3823920,673824,3150096,5.2,0.195,5.58e-06,5.4,1.07,1.26,5.23e-06,2.33,3823222,3825437,673960,676175,3823920,27141041.661009,0,0,0,4536
15,0,5.0,4.889,-0.146,-0.146,7,2,16,32,4.743,N/A,N/A,5.21,14914018.726968,2105875,368052,1737823,3.43,0.141,3.05e-06,3.57,0.752,0.89,2.93e-06,1.64,2105268,2107071,368036,369839,2105875,14914018.726968,0,0,0,2407
15,1,5.0,4.259,0.517,0.517,2,2,120,16,4.776000000000001,N/A,N/A,1.21,3189156.153598,451161,77676,373485,0.717,0.0293,6.43e-07,0.746,0.203,0.258,6.45e-07,0.461,451065,451496,77732,78163,451161,3189156.153598,0,0,0,491
16,0,6.0,4.935,0.806,0.806,1,4,56,32,5.741,N/A,N/A,1.28,4425906.044794,621248,110296,510952,0.849,0.0321,9.1e-07,0.881,0.181,0.215,8.46e-07,0.395,621055,621660,110351,110956,621248,4425906.044794,0,0,0,686
17,0,5.0,4.84,-0.095,-0.095,8,4,16,16,4.745,N/A,N/A,9.15,23607193.670695,3365065,567696,2797369,5.36,0.237,4.73e-06,5.6,1.6,1.97,4.98e-06,3.57,3364485,3366704,567992,570211,3365065,23607193.670695,0,0,0,3813
18,0,6.0,4.874,0.869,0.869,3,1,8,16,5.742999999999999,N/A,N/A,0.709,2186112.905602,309229,52917,256312,0.414,0.0177,4.4e-07,0.432,0.124,0.154,4.47e-07,0.277,309126,309566,52944,53384,309229,2186112.905602,0,0,0,317
19,0,6.0,4.909,0.833,0.833,5,2,96,16,5.742,N/A,N/A,2.52,7859609.238416,1114377,190278,924099,1.5,0.0661,1.58e-06,1.56,0.432,0.529,1.64e-06,0.961,1114128,1115075,190358,191305,1114377,7859609.238416,0,0,0,1212
2,0,5.0,4.895,-0.153,-0.153,10,2,112,32,4.742,N/A,N/A,8.03,23571323.017975,3312675,587208,2725467,5.43,0.207,4.86e-06,5.63,1.1,1.29,4.57e-06,2.39,3311819,3314330,587168,589679,3312675,23571323.017975,0,0,0,3949
20,0,6.0,5.002,0.734,0.734,7,2,56,32,5.736,N/A,N/A,4.53,15579040.285417,2194715,385972,1808743,3.0,0.116,3.19e-06,3.12,0.639,0.76,3.07e-06,1.4,2194108,2195911,385956,387759,2194715,15579040.285417,0,0,0,2512
21,0,5.0,4.804,-0.057,-0.057,7,1,40,32,4.747,N/A,N/A,2.62,7650523.70881,1078086,189482,888604,1.75,0.0667,1.56e-06,1.82,0.369,0.438,1.47e-06,0.807,1077575,1079011,189381,190817,1078086,7650523.70881,0,0,0,1187
3,0,5.0,4.614,0.143,0.143,2,1,96,32,4.757,N/A,N/A,0.779,2304810.496002,322439,57756,264683,0.526,0.019,4.76e-07,0.545,0.106,0.128,4.39e-07,0.234,322298,322769,57755,58226,322439,2304810.496002,0,0,0,347
4,0,6.0,4.991,0.747,0.747,3,4,120,16,5.7379999999999995,N/A,N/A,3.08,9610014.26573,1361433,232884,1128549,1.84,0.0852,1.93e-06,1.93,0.517,0.628,2e-06,1.14,1361198,1362127,233020,233949,1361433,9610014.26573,0,0,0,1507
5,0,6.0,5.172,0.555,0.555,11,4,96,16,5.726999999999999,N/A,N/A,10.8,34482555.254326,4893702,836884,4056818,6.51,0.265,6.97e-06,6.78,1.82,2.26,7.05e-06,4.08,4892915,4895908,837276,840269,4893702,34482555.254326,0,0,0,5778
6,0,6.0,5.162,0.567,0.567,12,2,64,16,5.729,N/A,N/A,5.94,18420918.371768,2617211,444312,2172899,3.51,0.152,3.7e-06,3.66,1.02,1.25,3.85e-06,2.27,2616605,2618756,444448,446599,2617211,18420918.371768,0,0,0,3050
6,1,5.0,5.017,-0.281,-0.281,4,16,24,32,4.736000000000001,N/A,N/A,23.8,68850692.019249,9731257,1698288,8032969,16.0,0.664,1.41e-05,16.7,3.36,3.99,1.36e-05,7.36,9729933,9734360,1698968,1703395,9731257,68850692.019249,0,0,0,11776
7,0,5.0,4.248,0.528,0.528,1,2,72,32,4.776,N/A,N/A,0.762,2255668.364802,316434,56204,260230,0.514,0.0182,4.64e-07,0.532,0.104,0.126,4.31e-07,0.23,316325,316712,56235,56622,316434,2255668.364802,0,0,0,342
8,0,6.0,5.174,0.554,0.554,1,16,24,32,5.728000000000001,N/A,N/A,5.08,17207294.410283,2428132,424608,2003524,3.33,0.14,3.52e-06,3.47,0.733,0.855,3.34e-06,1.59,2427435,2429348,424807,426720,2428132,17207294.410283,0,0,0,2779
