Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
25,0,6.0,5.044,0.69,0.69,2,8,32,32,5.734,N/A,N/A,5.1,17400477.187867,2457445,428720,2028725,3.36,0.135,3.55e-06,3.5,0.731,0.861,3.41e-06,1.59,2456947,2458482,428888,430423,2457445,17400477.187867,0,0,0,2794
26,0,5.0,4.885,-0.142,-0.142,3,8,32,16,4.742999999999999,N/A,N/A,7.0,17976922.544586,2560069,431880,2128189,4.09,0.185,3.6e-06,4.28,1.23,1.49,3.79e-06,2.72,2559658,2561239,432160,433741,2560069,17976922.544586,0,0,0,2840
27,0,5.0,4.981,-0.243,-0.243,11,4,48,32,4.7379999999999995,N/A,N/A,16.4,48414577.16662,6829372,1201512,5627860,11.1,0.404,9.97e-06,11.5,2.28,2.73,9.33e-06,5.0,6828169,6831994,1201728,1205553,6829372,48414577.16662,0,0,0,8170
28,0,5.0,4.87,-0.127,-0.127,9,2,8,32,4.743,N/A,N/A,6.64,19006237.238985,2682994,468588,2214406,4.36,0.175,3.88e-06,4.54,0.962,1.13,3.68e-06,2.09,2682221,2684496,468556,470831,2682994,19006237.238985,0,0,0,3055
29,0,5.0,4.951,-0.212,-0.212,3,16,40,32,4.739,N/A,N/A,18.0,52340668.849525,7387397,1298304,6089093,12.0,0.468,1.08e-05,12.5,2.52,3.0,1.01e-05,5.52,7386282,7389871,1298824,1302413,7387397,52340668.849525,0,0,0,8850
3,0,5.0,5.16,-0.432,-0.432,3,8,40,32,4.728,N/A,N/A,9.02,26201017.60344,3694713,649200,3045513,6.02,0.234,5.38e-06,6.25,1.27,1.5,5.07e-06,2.76,3694078,3696107,649433,651462,3694713,26201017.60344,0,0,0,4320
3,1,5.0,4.279,0.495,0.495,1,2,64,32,4.774,N/A,N/A,0.782,2239504.112002,314677,55692,258985,0.516,0.0196,4.59e-07,0.535,0.112,0.135,4.35e-07,0.247,314568,314955,55723,56110,314677,2239504.112002,0,0,0,346
30,0,6.0,5.04,0.695,0.695,10,1,48,32,5.735,N/A,N/A,3.22,11015308.30424,1550052,273228,1276824,2.12,0.0854,2.26e-06,2.21,0.462,0.544,2.15e-06,1.01,1549319,1551334,273067,275082,1550052,11015308.30424,0,0,0,1745
31,0,6.0,5.055,0.679,0.679,9,4,16,32,5.734,N/A,N/A,11.0,38284280.159611,5412606,946200,4466406,7.31,0.28,7.85e-06,7.59,1.58,1.9,7.38e-06,3.48,5411605,5414786,946384,949565,5412606,38284280.159611,0,0,0,6361
31,1,5.0,4.858,-0.114,-0.114,7,2,56,16,4.744,N/A,N/A,4.06,10658637.47862,1511259,257410,1253849,2.42,0.108,2.13e-06,2.53,0.689,0.849,2.2e-06,1.54,1510908,1512199,257506,258797,1511259,10658637.47862,0,0,0,1693
32,0,5.0,4.785,-0.037,-0.037,7,2,40,32,4.748,N/A,N/A,5.3,15310232.477396,2157618,378804,1778814,3.52,0.139,3.13e-06,3.66,0.752,0.888,3.02e-06,1.64,2157011,2158814,378788,380591,2157618,15310232.477396,0,0,0,2484
33,0,6.0,5.055,0.679,0.679,1,16,32,16,5.734,N/A,N/A,4.0,11981641.344335,1705079,287920,1417159,2.32,0.116,2.39e-06,2.44,0.704,0.849,2.55e-06,1.55,1704670,1706007,288135,289472,1705079,11981641.344335,0,0,0,1856
34,0,5.0,4.941,-0.201,-0.201,9,4,64,16,4.74,N/A,N/A,10.5,27554409.36338,3916965,666300,3250665,6.23,0.261,5.55e-06,6.5,1.81,2.23,5.72e-06,4.03,3916316,3918793,666628,669105,3916965,27554409.36338,0,0,0,4467
35,0,6.0,4.984,0.754,0.754,12,2,40,32,5.7379999999999995,N/A,N/A,7.54,26220939.209839,3698534,649344,3049190,5.02,0.19,5.38e-06,5.21,1.06,1.25,5.12e-06,2.31,3697512,3700495,649288,652271,3698534,26220939.209839,0,0,0,4295
4,0,6.0,5.041,0.693,0.693,12,1,32,32,5.734,N/A,N/A,3.84,13042278.579613,1841692,321720,1519972,2.51,0.101,2.66e-06,2.61,0.558,0.663,2.58e-06,1.22,1840811,1843212,321519,323920,1841692,13042278.579613,0,0,0,2106
5,0,5.0,4.85,-0.105,-0.105,10,2,8,16,4.744999999999999,N/A,N/A,5.77,14696979.318958,2093244,352348,1740896,3.36,0.153,2.93e-06,3.51,1.02,1.24,3.14e-06,2.26,2092740,2094547,352468,354275,2093244,14696979.318958,0,0,0,2302
6,0,5.0,4.405,0.363,0.363,5,2,64,16,4.768000000000001,N/A,N/A,2.96,7658176.04801,1089404,185158,904246,1.74,0.0755,1.53e-06,1.81,0.511,0.643,1.62e-06,1.15,1089155,1090102,185238,186185,1089404,7658176.04801,0,0,0,1194
7,0,5.0,4.343,0.429,0.429,1,1,56,32,4.772,N/A,N/A,0.369,1099025.302399,153217,27622,125595,0.253,0.00928,2.28e-07,0.263,0.0483,0.0584,2.02e-07,0.107,153150,153428,27631,27909,153217,1099025.302399,0,0,0,157
8,0,5.0,4.279,0.496,0.496,3,2,24,16,4.775,N/A,N/A,1.75,4455071.516797,633646,107274,526372,1.01,0.0453,8.9e-07,1.06,0.309,0.384,9.3e-07,0.693,633499,634102,107338,107941,633646,4455071.516797,0,0,0,684
8,1,5.0,4.178,0.602,0.602,3,1,56,16,4.78,N/A,N/A,0.89,2267196.921602,319861,55221,264640,0.516,0.0224,4.58e-07,0.539,0.155,0.196,4.63e-07,0.351,319758,320198,55248,55688,319861,2267196.921602,0,0,0,337
9,0,5.0,4.823,-0.077,-0.077,1,8,24,32,4.746,N/A,N/A,2.95,8548552.48962,1203211,212336,990875,1.95,0.0729,1.75e-06,2.03,0.422,0.504,1.64e-06,0.926,1202850,1203891,212439,213480,1203211,8548552.48962,0,0,0,1342
