Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,10,47.7,-40.21,-40.21,32,1024,32,7.490000000000002,N/A,N/A,0.225,1520654.678399,124598,38630,85968,0.19,0.000779,3.49e-07,0.191,0.0142,0.0196,2.02e-07,0.0338,124530,124801,38672,38943,124598,1520654.678399,0,0,0,175
1,1,10,70.156,-63.848,-63.848,32,1536,32,6.308000000000007,N/A,N/A,0.315,2151856.300798,174362,55014,119348,0.276,0.000786,4.96e-07,0.276,0.0159,0.0228,2.79e-07,0.0387,174294,174565,55056,55327,174362,2151856.300798,0,0,0,259
1,2,10,70.284,-63.983,-63.983,512,1536,32,6.301000000000009,N/A,N/A,0.395,2686442.761598,205786,70374,135412,0.348,0.0008,6.34e-07,0.349,0.0192,0.0268,2.32e-07,0.046,205718,205989,70416,70687,205786,2686442.761598,0,0,0,333
1,3,10,13.999,-4.735,-4.735,1024,256,32,9.264,N/A,N/A,0.255,1767561.481598,138697,45798,92899,0.218,0.000834,4.14e-07,0.219,0.0158,0.0205,1.74e-07,0.0363,138629,138900,45840,46111,138697,1767561.481598,0,0,0,214
1,4,10,5.962,3.724,3.724,128,32,32,9.686,N/A,N/A,0.0743,409627.8656,35643,9958,25685,0.0488,0.000774,9.16e-08,0.0496,0.0109,0.0138,5.54e-08,0.0247,35575,35846,10000,10271,35643,409627.8656,0,0,0,48
1,5,10,5.446,4.267,4.267,1536,32,16,9.713000000000001,N/A,N/A,0.15,1072766.367999,84895,27670,57225,0.131,0.000451,2.5e-07,0.131,0.00814,0.0105,1.01e-07,0.0186,84875,85050,27712,27887,84895,1072766.367999,0,0,0,143
1,6,10,11.164,-1.752,-1.752,2048,32,128,9.411999999999999,N/A,N/A,1.36,10723014.22081,946129,267147,678982,1.25,0.000264,2.41e-06,1.25,0.0409,0.0611,1.65e-06,0.102,945773,946620,267189,268036,946129,10723014.22081,0,0,0,1779
1,7,10,25.223,-16.551,-16.551,1536,512,64,8.672,N/A,N/A,0.754,5362824.624018,412021,140471,271550,0.669,0.00135,1.26e-06,0.67,0.0363,0.048,5.09e-07,0.0843,411857,412320,140513,140976,412021,5362824.624018,0,0,0,707
1,8,10,14.068,-4.808,-4.808,256,256,64,9.26,N/A,N/A,0.263,1641285.372798,130621,42167,88454,0.203,0.0013,3.82e-07,0.204,0.0254,0.0332,1.62e-07,0.0586,130457,130920,42209,42672,130621,1641285.372798,0,0,0,186
1,9,10,11.164,-1.752,-1.752,64,32,128,9.411999999999999,N/A,N/A,0.0675,500536.304,38168,13195,24973,0.0628,0.000288,1.21e-07,0.0631,0.0019,0.00251,4.9e-08,0.0044,37812,38659,13237,14084,38168,500536.304,0,0,0,66
