Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
11,5,6,4.319,1.454,1.454,1536,512,32,5.773,N/A,N/A,0.556,2719567.0304,374956,70406,304550,0.487,0.00361,5.7e-07,0.491,0.0249,0.0407,4.22e-07,0.0656,375043,376796,70740,72493,374956,2719567.0304,0,0,0,357
11,6,6,4.251,1.526,1.526,1536,2048,32,5.777,N/A,N/A,0.901,4587497.273602,630134,119558,510576,0.819,0.0028,9.66e-07,0.821,0.0279,0.0524,6.82e-07,0.0803,630221,631976,119894,121649,630134,4587497.273602,0,0,0,631
12,0,6,3.818,1.981,1.981,128,64,128,5.799,N/A,N/A,0.493,1785152.102399,244753,42911,201842,0.316,0.00939,3.54e-07,0.325,0.0736,0.095,3.74e-07,0.169,244624,250660,43909,49945,244753,1785152.102399,0,0,0,189
12,1,6,4.319,1.454,1.454,512,512,32,5.773,N/A,N/A,0.332,1475269.900799,205095,37638,167457,0.268,0.00481,3.06e-07,0.272,0.0247,0.0351,2.44e-07,0.0598,205182,206933,37970,39721,205095,1475269.900799,0,0,0,173
12,2,6,3.982,1.808,1.808,1024,1024,128,5.79,N/A,N/A,2.16,10824280.092793,1487897,280479,1207418,1.92,0.00797,2.26e-06,1.93,0.0886,0.145,1.69e-06,0.234,1487768,1493811,281484,287527,1487897,10824280.092793,0,0,0,2183
12,3,6,4.184,1.596,1.596,32,2048,128,5.78,N/A,N/A,2.19,10951269.385711,1504039,284575,1219464,1.95,0.00796,2.3e-06,1.96,0.0857,0.148,1.67e-06,0.234,1503910,1509949,285576,291615,1504039,10951269.385711,0,0,0,4777
12,4,6,3.913,1.881,1.881,2048,256,16,5.794,N/A,N/A,0.316,1550164.230399,215345,39494,175851,0.276,0.00253,3.2e-07,0.278,0.0146,0.0229,2.53e-07,0.0375,215468,216507,39716,40755,215345,1550164.230399,0,0,0,204
13,0,6,4.357,1.413,1.413,1536,1536,128,5.7700000000000005,N/A,N/A,3.06,15748261.33121,2160294,411551,1748743,2.8,0.00718,3.31e-06,2.81,0.0908,0.17,2.35e-06,0.261,2160165,2166210,412558,418603,2160294,15748261.33121,0,0,0,7334
13,1,6,4.152,1.63,1.63,64,1536,128,5.782,N/A,N/A,1.75,8608991.705613,1182292,223135,959157,1.53,0.00706,1.81e-06,1.54,0.0809,0.135,1.34e-06,0.216,1182163,1188203,224137,230177,1182292,8608991.705613,0,0,0,4057
13,2,6,3.758,2.044,2.044,256,32,32,5.802,N/A,N/A,0.167,590442.5312,83687,14086,69601,0.107,0.00436,1.17e-07,0.111,0.0242,0.0311,1.36e-07,0.0554,83774,85520,14413,16159,83687,590442.5312,0,0,0,71
13,3,6,3.675,2.132,2.132,128,64,16,5.807,N/A,N/A,0.0769,259827.9456,37579,5702,31877,0.0456,0.0023,4.86e-08,0.0479,0.0127,0.0163,6.93e-08,0.029,37702,38735,5918,6951,37579,259827.9456,0,0,0,34
13,4,6,3.913,1.881,1.881,1024,256,16,5.794,N/A,N/A,0.2,925162.303999,129626,23110,106516,0.164,0.00257,1.89e-07,0.167,0.0138,0.0194,1.69e-07,0.0332,129749,130787,23331,24369,129626,925162.303999,0,0,0,103
13,5,6,4.252,1.524,1.524,1024,2048,64,5.776,N/A,N/A,1.58,7926849.977599,1088387,206011,882376,1.41,0.0059,1.67e-06,1.42,0.0583,0.0984,1.22e-06,0.157,1088402,1091585,206569,209752,1088387,7926849.977599,0,0,0,1709
13,6,6,4.1,1.684,1.684,512,2048,128,5.784,N/A,N/A,2.64,13286744.291336,1824252,346015,1478237,2.37,0.0115,2.79e-06,2.39,0.0941,0.165,1.99e-06,0.259,1824123,1830166,347020,353063,1824252,13286744.291336,0,0,0,6280
13,7,6,4.024,1.764,1.764,256,512,64,5.788,N/A,N/A,0.558,2319550.883199,322203,58555,263648,0.424,0.0102,4.77e-07,0.435,0.0536,0.0694,4.29e-07,0.123,322218,325397,59109,62288,322203,2319550.883199,0,0,0,313
14,0,6,3.858,1.939,1.939,32,64,64,5.797000000000001,N/A,N/A,0.231,675052.4288,95165,15547,79618,0.123,0.00688,1.3e-07,0.13,0.0447,0.0556,1.84e-07,0.1,95180,98353,16095,19268,95165,675052.4288,0,0,0,81
14,1,6,3.791,2.009,2.009,2048,32,128,5.8,N/A,N/A,2.19,10954736.460912,1504956,284575,1220381,1.95,0.00845,2.3e-06,1.96,0.0843,0.143,1.67e-06,0.227,1504827,1510866,285576,291615,1504956,10954736.460912,0,0,0,5100
14,2,6,3.739,2.065,2.065,128,64,32,5.804,N/A,N/A,0.139,471866.3072,65772,11014,54758,0.0839,0.00358,9.2e-08,0.0875,0.0225,0.0293,1.09e-07,0.0518,65859,67605,11341,13087,65772,471866.3072,0,0,0,58
14,3,6,4.169,1.611,1.611,1024,1024,64,5.779999999999999,N/A,N/A,1.11,5434983.830402,748394,140475,607919,0.969,0.00598,1.14e-06,0.975,0.0545,0.0841,8.71e-07,0.139,748409,751591,141032,144214,748394,5434983.830402,0,0,0,846
14,4,6,4.003,1.786,1.786,256,512,16,5.789,N/A,N/A,0.144,613562.2048,87175,14918,72257,0.11,0.00295,1.23e-07,0.113,0.0133,0.0175,1.22e-07,0.0308,87298,88335,15138,16175,87175,613562.2048,0,0,0,77
14,5,6,4.197,1.582,1.582,1536,2048,64,5.779,N/A,N/A,1.8,9158020.767994,1256969,238779,1018190,1.64,0.00575,1.93e-06,1.64,0.0593,0.105,1.39e-06,0.164,1256984,1260168,239338,242522,1256969,9158020.767994,0,0,0,2404
