Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Head_dim,activation,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
3,1,5,2.198,2.686,2.686,184,SILU,4.884,N/A,N/A,0.0236,143336.2208,24987,1656,23331,0.0148,0.0,2.12e-08,0.0148,0.00384,0.00494,6.79e-08,0.00878,23343,29959,12,6628,24987,143336.2208,0,0,0,37
3,2,5,1.427,3.498,3.498,120,SOFTPLUS,4.925000000000001,N/A,N/A,0.0105,43930.8832,5378,1080,4298,0.00944,0.0,1.4e-08,0.00944,0.000435,0.000585,1.27e-08,0.00102,4310,8622,12,4324,5378,43930.8832,0,0,0,9
3,3,5,1.265,3.668,3.668,80,RELU,4.933,N/A,N/A,0.00613,24226.9856,2561,640,1921,0.00566,6.7e-05,8.22e-09,0.00572,0.00019,0.000216,5.84e-09,0.000406,1853,4725,12,2884,2561,24226.9856,0,0,0,4
3,4,5,1.427,3.498,3.498,144,SOFTPLUS,4.925000000000001,N/A,N/A,0.0125,52594.192,6448,1296,5152,0.0113,0.0,1.68e-08,0.0113,0.000518,0.000696,1.52e-08,0.00121,5164,10340,12,5188,6448,52594.192,0,0,0,10
3,5,5,1.427,3.498,3.498,208,SOFTPLUS,4.925000000000001,N/A,N/A,0.0181,75919.0624,9305,1872,7433,0.0164,0.0,2.42e-08,0.0164,0.000747,0.001,2.2e-08,0.00175,7445,14925,12,7492,9305,75919.0624,0,0,0,15
3,6,5,2.418,2.454,2.454,16,GELU,4.872,N/A,N/A,0.00261,16356.9376,3014,144,2870,0.00131,0.0,1.84e-09,0.00131,0.000556,0.000751,8.2e-09,0.00131,2882,3450,12,580,3014,16356.9376,0,0,0,7
3,7,5,2.202,2.682,2.682,160,SILU,4.884,N/A,N/A,0.0205,124596.9984,21736,1440,20296,0.0129,0.0,1.85e-08,0.0129,0.00333,0.00428,5.92e-08,0.00761,20308,26060,12,5764,21736,124596.9984,0,0,0,30
30,0,5,1.265,3.668,3.668,96,RELU,4.933,N/A,N/A,0.00736,29071.632,3073,768,2305,0.00679,8.04e-05,9.87e-09,0.00687,0.000228,0.00026,7e-09,0.000488,2221,5669,12,3460,3073,29071.632,0,0,0,4
30,1,5,1.409,3.517,3.517,48,SOFTPLUS,4.926,N/A,N/A,0.00419,17641.92,2150,432,1718,0.00378,0.0,5.58e-09,0.00378,0.000177,0.000237,5.08e-09,0.000414,1730,3450,12,1732,2150,17641.92,0,0,0,5
31,0,5,1.265,3.668,3.668,200,RELU,4.933,N/A,N/A,0.0153,60561.8336,6401,1600,4801,0.0141,0.000167,2.06e-08,0.0143,0.000475,0.000541,1.46e-08,0.00102,4613,11805,12,7204,6401,60561.8336,0,0,0,6
32,0,5,2.418,2.455,2.455,8,GELU,4.873,N/A,N/A,0.0013,8144.0608,1494,72,1422,0.000652,0.0,9.2e-10,0.000652,0.000278,0.000373,4.07e-09,0.000652,1434,1714,12,292,1494,8144.0608,0,0,0,4
33,0,5,2.197,2.687,2.687,144,SILU,4.884,N/A,N/A,0.0184,111974.8928,19522,1296,18226,0.0116,0.0,1.66e-08,0.0116,0.00299,0.00384,5.32e-08,0.00683,18238,23414,12,5188,19522,111974.8928,0,0,0,30
34,0,5,1.265,3.668,3.668,224,RELU,4.933,N/A,N/A,0.0172,67828.8032,7169,1792,5377,0.0158,0.000188,2.3e-08,0.016,0.000532,0.000606,1.63e-08,0.00114,5165,13221,12,8068,7169,67828.8032,0,0,0,6
35,0,5,2.475,2.395,2.395,248,GELU,4.87,N/A,N/A,0.0405,250153.6672,46441,2232,44209,0.0202,0.0,2.85e-08,0.0202,0.00858,0.0117,1.27e-07,0.0202,44221,53141,12,8932,46441,250153.6672,0,0,0,72
36,0,5,2.479,2.391,2.391,96,GELU,4.87,N/A,N/A,0.0157,98154.1376,18078,864,17214,0.00782,0.0,1.1e-08,0.00782,0.00335,0.00451,4.9e-08,0.00786,17226,20674,12,3460,18078,98154.1376,0,0,0,28
37,0,5,2.197,2.688,2.688,168,SILU,4.885,N/A,N/A,0.0215,130893.0368,22802,1512,21290,0.0135,0.0,1.94e-08,0.0135,0.00351,0.00451,6.21e-08,0.00802,21302,27342,12,6052,22802,130893.0368,0,0,0,35
38,0,5,1.265,3.668,3.668,248,RELU,4.933,N/A,N/A,0.019,75095.7728,7937,1984,5953,0.0175,0.000208,2.55e-08,0.0177,0.000589,0.000671,1.81e-08,0.00126,5717,14637,12,8932,7937,75095.7728,0,0,0,7
4,0,5,2.202,2.682,2.682,248,SILU,4.884,N/A,N/A,0.0319,193665.7408,33671,2232,31439,0.02,0.0,2.86e-08,0.02,0.00521,0.0067,9.15e-08,0.0119,31451,40371,12,8932,33671,193665.7408,0,0,0,51
4,1,5,2.436,2.435,2.435,160,GELU,4.871,N/A,N/A,0.0261,163117.6928,30085,1440,28645,0.013,0.0,1.84e-08,0.013,0.00557,0.00753,8.28e-08,0.0131,28657,34409,12,5764,30085,163117.6928,0,0,0,45
4,2,5,1.265,3.668,3.668,256,RELU,4.933,N/A,N/A,0.0196,77518.096,8193,2048,6145,0.0181,0.000214,2.63e-08,0.0183,0.000608,0.000692,1.87e-08,0.0013,5901,15109,12,9220,8193,77518.096,0,0,0,7
4,3,5,2.49,2.379,2.379,168,GELU,4.869,N/A,N/A,0.0275,169607.6672,31558,1512,30046,0.0137,0.0,1.93e-08,0.0137,0.00583,0.00792,8.62e-08,0.0138,30058,36098,12,6052,31558,169607.6672,0,0,0,47
4,4,5,2.174,2.712,2.712,24,SILU,4.886,N/A,N/A,0.00308,18761.744,3268,216,3052,0.00193,0.0,2.77e-09,0.00193,0.000502,0.00065,8.86e-09,0.00115,3064,3920,12,868,3268,18761.744,0,0,0,6
4,5,5,1.427,3.498,3.498,192,SOFTPLUS,4.925000000000001,N/A,N/A,0.0167,70074.7072,8589,1728,6861,0.0151,0.0,2.23e-08,0.0151,0.000689,0.000927,2.03e-08,0.00162,6873,13777,12,6916,8589,70074.7072,0,0,0,14
4,6,5,1.427,3.498,3.498,216,SOFTPLUS,4.925000000000001,N/A,N/A,0.0188,78880.6528,9674,1944,7730,0.017,0.0,2.51e-08,0.017,0.000775,0.00104,2.29e-08,0.00182,7742,15510,12,7780,9674,78880.6528,0,0,0,16
5,0,5,2.433,2.439,2.439,40,GELU,4.872,N/A,N/A,0.00651,40603.9424,7499,360,7139,0.00326,0.0,4.61e-09,0.00326,0.00138,0.00187,2.04e-08,0.00325,7151,8583,12,1444,7499,40603.9424,0,0,0,12
5,1,5,1.368,3.56,3.56,104,SOFTPLUS,4.928,N/A,N/A,0.00911,38496.9216,4655,936,3719,0.00818,0.0,1.21e-08,0.00818,0.000401,0.000524,1.09e-08,0.000925,3731,7467,12,3748,4655,38496.9216,0,0,0,9
5,2,5,1.427,3.498,3.498,168,SOFTPLUS,4.925000000000001,N/A,N/A,0.0146,61443.9296,7521,1512,6009,0.0132,0.0,1.95e-08,0.0132,0.000607,0.000817,1.78e-08,0.00142,6021,12061,12,6052,7521,61443.9296,0,0,0,13
5,3,5,1.409,3.517,3.517,40,SOFTPLUS,4.926,N/A,N/A,0.00349,14699.0976,1793,360,1433,0.00315,0.0,4.65e-09,0.00315,0.000148,0.000197,4.24e-09,0.000345,1445,2877,12,1444,1793,14699.0976,0,0,0,4
5,4,5,2.202,2.682,2.682,224,SILU,4.884,N/A,N/A,0.0287,174355.9712,30402,2016,28386,0.018,0.0,2.59e-08,0.018,0.00466,0.006,8.28e-08,0.0107,28398,36454,12,8068,30402,174355.9712,0,0,0,46
5,5,5,1.265,3.668,3.668,40,RELU,4.933,N/A,N/A,0.00307,12115.3696,1281,320,961,0.00283,3.35e-05,4.11e-09,0.00286,9.5e-05,0.000108,2.92e-09,0.000203,933,2365,12,1444,1281,12115.3696,0,0,0,3
5,6,5,2.423,2.449,2.449,128,GELU,4.872,N/A,N/A,0.0208,130112.288,23985,1152,22833,0.0104,0.0,1.47e-08,0.0104,0.00444,0.00599,6.55e-08,0.0104,22845,27445,12,4612,23985,130112.288,0,0,0,36
6,0,5,2.446,2.425,2.425,64,GELU,4.871,N/A,N/A,0.0105,65230.0608,12039,576,11463,0.00522,0.0,7.36e-09,0.00522,0.00223,0.00302,3.32e-08,0.00525,11475,13771,12,2308,12039,65230.0608,0,0,0,18
6,1,5,1.265,3.668,3.668,24,RELU,4.933,N/A,N/A,0.00184,7270.7232,769,192,577,0.0017,2.01e-05,2.47e-09,0.00172,5.7e-05,6.49e-05,1.75e-09,0.000122,565,1421,12,868,769,7270.7232,0,0,0,3
6,2,5,2.202,2.682,2.682,88,SILU,4.884,N/A,N/A,0.0113,68694.6336,11955,792,11163,0.00708,0.0,1.02e-08,0.00708,0.00184,0.00238,3.25e-08,0.00421,11175,14335,12,3172,11955,68694.6336,0,0,0,18
6,3,5,1.265,3.668,3.668,152,RELU,4.933,N/A,N/A,0.0116,46027.8944,4865,1216,3649,0.0107,0.000127,1.56e-08,0.0109,0.000361,0.000411,1.11e-08,0.000772,3509,8973,12,5476,4865,46027.8944,0,0,0,5
6,4,5,2.429,2.443,2.443,88,GELU,4.872,N/A,N/A,0.0144,89605.9392,16543,792,15751,0.00717,0.0,1.01e-08,0.00717,0.00306,0.00414,4.56e-08,0.0072,15763,18923,12,3172,16543,89605.9392,0,0,0,25
6,5,5,1.427,3.498,3.498,184,SOFTPLUS,4.925000000000001,N/A,N/A,0.016,67178.1792,8239,1656,6583,0.0145,0.0,2.14e-08,0.0145,0.00066,0.00089,1.95e-08,0.00155,6595,13211,12,6628,8239,67178.1792,0,0,0,14
6,6,5,2.194,2.69,2.69,16,SILU,4.884,N/A,N/A,0.00205,12481.9712,2158,144,2014,0.00129,0.0,1.85e-09,0.00129,0.000335,0.00043,5.88e-09,0.000766,2026,2594,12,580,2158,12481.9712,0,0,0,5
7,0,5,1.427,3.498,3.498,112,SOFTPLUS,4.925000000000001,N/A,N/A,0.00976,40935.5104,5008,1008,4000,0.00881,0.0,1.3e-08,0.00881,0.000405,0.000543,1.19e-08,0.000948,4012,8036,12,4036,5008,40935.5104,0,0,0,9
7,1,5,1.265,3.668,3.668,64,RELU,4.933,N/A,N/A,0.0049,19382.3392,2049,512,1537,0.00453,5.36e-05,6.58e-09,0.00458,0.000152,0.000173,4.67e-09,0.000325,1485,3781,12,2308,2049,19382.3392,0,0,0,4
7,2,5,1.427,3.498,3.498,152,SOFTPLUS,4.925000000000001,N/A,N/A,0.0132,55527.0048,6811,1368,5443,0.012,0.0,1.77e-08,0.012,0.000546,0.000736,1.61e-08,0.00128,5455,10919,12,5476,6811,55527.0048,0,0,0,12
7,3,5,1.427,3.498,3.498,200,SOFTPLUS,4.925000000000001,N/A,N/A,0.0174,73193.9488,8958,1800,7158,0.0157,0.0,2.33e-08,0.0157,0.000725,0.000974,2.12e-08,0.0017,7170,14362,12,7204,8958,73193.9488,0,0,0,14
7,4,5,2.431,2.441,2.441,56,GELU,4.872,N/A,N/A,0.00923,56970.8896,10525,504,10021,0.00457,0.0,6.43e-09,0.00457,0.00197,0.00268,2.9e-08,0.00466,10033,12041,12,2020,10525,56970.8896,0,0,0,16
7,5,5,2.489,2.38,2.38,104,GELU,4.869,N/A,N/A,0.017,106022.9344,19517,936,18581,0.00847,0.0,1.2e-08,0.00847,0.00362,0.00488,5.3e-08,0.0085,18593,22329,12,3748,19517,106022.9344,0,0,0,29
8,0,5,2.194,2.69,2.69,104,SILU,4.884,N/A,N/A,0.0133,81107.7888,14133,936,13197,0.00837,0.0,1.2e-08,0.00837,0.00217,0.0028,3.85e-08,0.00497,13209,16945,12,3748,14133,81107.7888,0,0,0,22
8,1,5,1.427,3.498,3.498,232,SOFTPLUS,4.925000000000001,N/A,N/A,0.0202,84643.68,10376,2088,8288,0.0182,0.0,2.7e-08,0.0182,0.000831,0.00112,2.45e-08,0.00195,8300,16644,12,8356,10376,84643.68,0,0,0,17
8,2,5,1.265,3.668,3.668,240,RELU,4.933,N/A,N/A,0.0184,72673.4496,7681,1920,5761,0.017,0.000201,2.47e-08,0.0172,0.00057,0.000649,1.75e-08,0.00122,5533,14165,12,8644,7681,72673.4496,0,0,0,7
8,3,5,1.265,3.668,3.668,48,RELU,4.933,N/A,N/A,0.00368,14537.6928,1537,384,1153,0.00339,4.02e-05,4.93e-09,0.00343,0.000114,0.00013,3.5e-09,0.000244,1117,2837,12,1732,1537,14537.6928,0,0,0,3
8,4,5,2.197,2.687,2.687,64,SILU,4.884,N/A,N/A,0.00822,50080.5312,8682,576,8106,0.00515,0.0,7.39e-09,0.00515,0.00135,0.00172,2.36e-08,0.00307,8118,10414,12,2308,8682,50080.5312,0,0,0,14
8,5,5,1.368,3.56,3.56,16,SOFTPLUS,4.928,N/A,N/A,0.0014,5921.9296,716,144,572,0.00126,0.0,1.86e-09,0.00126,6.18e-05,8.02e-05,1.68e-09,0.000142,584,1152,12,580,716,5921.9296,0,0,0,3
9,0,5,2.49,2.379,2.379,240,GELU,4.869,N/A,N/A,0.0392,242099.6928,44952,2160,42792,0.0196,0.0,2.76e-08,0.0196,0.00831,0.0113,1.23e-07,0.0196,42804,51436,12,8644,44952,242099.6928,0,0,0,67
9,1,5,2.207,2.676,2.676,72,SILU,4.883,N/A,N/A,0.00921,56083.7888,9781,648,9133,0.0058,0.0,8.31e-09,0.0058,0.0015,0.00192,2.67e-08,0.00342,9145,11729,12,2596,9781,56083.7888,0,0,0,15
9,2,5,2.436,2.436,2.436,24,GELU,4.872,N/A,N/A,0.00391,24364.6176,4495,216,4279,0.00196,0.0,2.76e-09,0.00196,0.000831,0.00113,1.22e-08,0.00196,4291,5147,12,868,4495,24364.6176,0,0,0,8
9,3,5,1.265,3.668,3.668,72,RELU,4.933,N/A,N/A,0.00552,21804.6624,2305,576,1729,0.00509,6.03e-05,7.4e-09,0.00515,0.000171,0.000195,5.25e-09,0.000366,1669,4253,12,2596,2305,21804.6624,0,0,0,3
